 Freq  (hz)   :   9.99999978E-03
 c     (m/s)  :   1.00000000    
 seafloor     : F
 Model        :HOMO3.5.mod
 Model name: HOMO3.5.mod
 LAYER              H     P-VEL     S-VEL   DENSITY  
     1      0.1000E-02  6.000      3.500      2.500    
     2      0.1000E-02  6.000      3.500      2.500    
     3      0.1000E-02  6.000      3.500      2.500    
     4      0.1000E-02  6.000      3.500      2.500    
     5      0.1000E-02  6.000      3.500      2.500    
     6      0.1000E-02  6.000      3.500      2.500    
     7      0.1000E-02  6.000      3.500      2.500    
     8      0.1000E-02  6.000      3.500      2.500    
     9      0.1000E-02  6.000      3.500      2.500    
    10      0.1000E-02  6.000      3.500      2.500    
    11      0.1000E-02  6.000      3.500      2.500    
    12      0.1000E-02  6.000      3.500      2.500    
    13      0.1000E-02  6.000      3.500      2.500    
    14      0.1000E-02  6.000      3.500      2.500    
    15      0.1000E-02  6.000      3.500      2.500    
    16      0.1000E-02  6.000      3.500      2.500    
    17      0.1000E-02  6.000      3.500      2.500    
    18      0.1000E-02  6.000      3.500      2.500    
    19      0.1000E-02  6.000      3.500      2.500    
    20      0.1000E-02  6.000      3.500      2.500    
    21      0.5000E-02  6.000      3.500      2.500    
    22      0.5000E-02  6.000      3.500      2.500    
    23      0.5000E-02  6.000      3.500      2.500    
    24      0.5000E-02  6.000      3.500      2.500    
    25      0.5000E-02  6.000      3.500      2.500    
    26      0.5000E-02  6.000      3.500      2.500    
    27      0.5000E-02  6.000      3.500      2.500    
    28      0.5000E-02  6.000      3.500      2.500    
    29      0.5000E-02  6.000      3.500      2.500    
    30      0.5000E-02  6.000      3.500      2.500    
    31      0.1000E-01  6.000      3.500      2.500    
    32      0.1000E-01  6.000      3.500      2.500    
    33      0.1000E-01  6.000      3.500      2.500    
    34      0.1000E-01  6.000      3.500      2.500    
    35      0.1000E-01  6.000      3.500      2.500    
    36      0.1000E-01  6.000      3.500      2.500    
 COMPZ    :   3.9386949257647075E-010
 TILT     :   6.1432600164909040E-008
ZZ    I   Z(mid)(m)        Ka         Kb          Kr        Kkappa       Kmu         Krho
XX    I   Z(mid)(m)        Ka         Kb          Kr        Kkappa       Kmu         Krho
ZZ    1     0.50000    -0.24366     0.08215    -0.08074    -0.06656    -0.01430     0.00000
XX    1     0.50000    -0.24366     0.08215    -0.08074    -0.06655    -0.01420     0.00001
ZZ    2     1.50000    -0.21486     0.06819    -0.07333    -0.05868    -0.01474     0.00000
XX    2     1.50000    -0.21486     0.06819    -0.07333    -0.05869    -0.01465     0.00001
ZZ    3     2.50000    -0.18945     0.05250    -0.06835    -0.05180    -0.01679     0.00000
XX    3     2.50000    -0.18945     0.05250    -0.06835    -0.05175    -0.01673     0.00012
ZZ    4     3.50000    -0.16698     0.03618    -0.06533    -0.04564    -0.01983     0.00000
XX    4     3.50000    -0.16698     0.03618    -0.06533    -0.04561    -0.01979     0.00007
ZZ    5     4.50000    -0.14729     0.02005    -0.06363    -0.04020    -0.02342     0.00000
XX    5     4.50000    -0.14729     0.02005    -0.06363    -0.04023    -0.02339    -0.00001
ZZ    6     5.50000    -0.12997     0.00449    -0.06267    -0.03553    -0.02717     0.00000
XX    6     5.50000    -0.12997     0.00449    -0.06267    -0.03550    -0.02724     0.00007
ZZ    7     6.50000    -0.11468    -0.00978    -0.06225    -0.03126    -0.03085     0.00000
XX    7     6.50000    -0.11468    -0.00978    -0.06225    -0.03133    -0.03091    -0.00002
ZZ    8     7.50000    -0.10123    -0.02290    -0.06208    -0.02758    -0.03443     0.00000
XX    8     7.50000    -0.10123    -0.02290    -0.06208    -0.02765    -0.03442    -0.00001
ZZ    9     8.50000    -0.08918    -0.03454    -0.06198    -0.02432    -0.03753    -0.00001
XX    9     8.50000    -0.08918    -0.03454    -0.06198    -0.02436    -0.03750    -0.00012
ZZ   10     9.50000    -0.07865    -0.04471    -0.06177    -0.02146    -0.04019     0.00000
XX   10     9.50000    -0.07865    -0.04471    -0.06177    -0.02148    -0.04019    -0.00009
ZZ   11    10.50000    -0.06934    -0.05346    -0.06142    -0.01896    -0.04244     0.00000
XX   11    10.50000    -0.06934    -0.05346    -0.06142    -0.01894    -0.04246    -0.00002
