  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
    1     1.00000     5.00000     2.89000     2.50000     0.00000     0.00000
    2     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
    3     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
    4     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
    5     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
    6     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
    7     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
    8     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
    9     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
   10     1.00000     6.10000     3.52000     2.73000     0.00000     0.00000
   11     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   12     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   13     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   14     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   15     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   16     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   17     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   18     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   19     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   20     1.00000     6.40000     3.70000     2.82000     0.00000     0.00000
   21     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   22     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   23     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   24     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   25     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   26     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   27     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   28     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   29     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   30     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   31     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   32     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   33     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   34     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   35     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   36     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   37     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   38     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   39     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   40     1.00000     6.70000     3.87000     2.90200     0.00000     0.00000
   41     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   42     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   43     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   44     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   45     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   46     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   47     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   48     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   49     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000
   50     1.00000     8.15000     4.70000     3.36400     0.00000     0.00000


                      RAYLEIGH WAVE      MODE #  0
        T = 0.1000E+01 C =    0.2953E+01 U   = 0.2594E+01
        AR= 0.2188E-01 GAMMA= 0.4003E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.676E+00  0.000E+00  0.100E+01  0.000E+00 -0.409E+00  0.131E+00  0.399E+00 -0.147E+00
    2  -0.657E-01  0.358E+02  0.639E+00 -0.367E+02 -0.762E-09  0.898E-02  0.325E+00  0.947E-01
    3  -0.106E+00  0.220E+02  0.275E+00 -0.195E+02 -0.762E-09  0.217E-03  0.867E-01  0.344E-01
    4  -0.466E-01  0.858E+01  0.981E-01 -0.737E+01 -0.762E-09  0.524E-05  0.123E-01  0.518E-02
    5  -0.167E-01  0.295E+01  0.326E-01 -0.251E+01 -0.762E-09  0.126E-06  0.142E-02  0.612E-03
    6  -0.557E-02  0.968E+00  0.105E-01 -0.817E+00 -0.762E-09  0.305E-08  0.151E-03  0.656E-04
    7  -0.180E-02  0.310E+00  0.335E-02 -0.261E+00 -0.762E-09  0.737E-10  0.154E-04  0.674E-05
    8  -0.572E-03  0.984E-01  0.106E-02 -0.828E-01 -0.762E-09  0.184E-11  0.154E-05  0.677E-06
    9  -0.181E-03  0.310E-01  0.332E-03 -0.262E-01 -0.762E-09  0.166E-12  0.153E-06  0.675E-07
   10  -0.578E-04  0.958E-02  0.102E-03 -0.839E-02 -0.762E-09  0.262E-11  0.149E-07  0.672E-08
   11  -0.157E-04  0.303E-02  0.282E-04 -0.273E-02 -0.589E-20  0.200E-12  0.121E-08  0.578E-09
   12  -0.471E-05  0.892E-03  0.813E-05 -0.795E-03 -0.589E-20  0.458E-14  0.103E-09  0.496E-10
   13  -0.136E-05  0.255E-03  0.230E-05 -0.226E-03 -0.589E-20  0.105E-15  0.839E-11  0.404E-11
   14  -0.385E-06  0.719E-04  0.646E-06 -0.637E-04 -0.589E-20  0.241E-17  0.664E-12  0.321E-12
   15  -0.108E-06  0.201E-04  0.180E-06 -0.178E-04 -0.589E-20  0.551E-19  0.519E-13  0.251E-13
   16  -0.301E-07  0.560E-05  0.501E-07 -0.496E-05 -0.589E-20  0.126E-20  0.403E-14  0.195E-14
   17  -0.838E-08  0.156E-05  0.139E-07 -0.138E-05 -0.589E-20  0.291E-22  0.312E-15  0.151E-15
   18  -0.233E-08  0.433E-06  0.387E-08 -0.383E-06 -0.589E-20  0.758E-24  0.240E-16  0.116E-16
   19  -0.648E-09  0.120E-06  0.107E-08 -0.106E-06 -0.589E-20  0.457E-24  0.185E-17  0.897E-18
   20  -0.181E-09  0.329E-07  0.293E-09 -0.300E-07 -0.589E-20  0.156E-22  0.141E-18  0.693E-19
   21  -0.446E-10  0.927E-08  0.730E-10 -0.858E-08  0.000E+00  0.885E-24  0.929E-20  0.476E-20
   22  -0.119E-10  0.245E-08  0.190E-10 -0.225E-08  0.000E+00  0.194E-25  0.642E-21  0.330E-21
   23  -0.310E-11  0.634E-09  0.489E-11 -0.581E-09  0.000E+00  0.425E-27  0.428E-22  0.221E-22
   24  -0.798E-12  0.163E-09  0.125E-11 -0.149E-09  0.000E+00  0.933E-29  0.281E-23  0.145E-23
   25  -0.204E-12  0.414E-10  0.317E-12 -0.379E-10  0.000E+00  0.204E-30  0.182E-24  0.941E-25
   26  -0.518E-13  0.105E-10  0.804E-13 -0.961E-11  0.000E+00  0.448E-32  0.117E-25  0.606E-26
   27  -0.131E-13  0.267E-11  0.204E-13 -0.243E-11  0.000E+00  0.983E-34  0.753E-27  0.389E-27
